window,n_contests,dezena,row,col,observed_count,observed_rate,expected_count_n0,expected_rate_n0,z_n0
last_250,250,6,2,1,156,0.624,150.0,0.6,0.7745966692414834
last_250,250,7,2,2,143,0.572,150.0,0.6,-0.9036961141150639
last_250,250,8,2,3,140,0.56,150.0,0.6,-1.2909944487358056
last_250,250,9,2,4,142,0.568,150.0,0.6,-1.0327955589886444
last_250,250,10,2,5,161,0.644,150.0,0.6,1.420093893609386
last_250,250,11,3,1,169,0.676,150.0,0.6,2.4528894525980305
last_250,250,12,3,2,143,0.572,150.0,0.6,-0.9036961141150639
last_250,250,13,3,3,156,0.624,150.0,0.6,0.7745966692414834
last_250,250,14,3,4,149,0.596,150.0,0.6,-0.12909944487358055
last_250,250,15,3,5,146,0.584,150.0,0.6,-0.5163977794943222
last_250,250,16,4,1,155,0.62,150.0,0.6,0.6454972243679028
last_250,250,17,4,2,141,0.564,150.0,0.6,-1.161895003862225
last_250,250,18,4,3,145,0.58,150.0,0.6,-0.6454972243679028
last_250,250,19,4,4,152,0.608,150.0,0.6,0.2581988897471611
last_250,250,20,4,5,156,0.624,150.0,0.6,0.7745966692414834
last_250,250,21,5,1,144,0.576,150.0,0.6,-0.7745966692414834
last_250,250,22,5,2,153,0.612,150.0,0.6,0.3872983346207417
last_250,250,23,5,3,141,0.564,150.0,0.6,-1.161895003862225
last_250,250,24,5,4,159,0.636,150.0,0.6,1.161895003862225
last_250,250,25,5,5,159,0.636,150.0,0.6,1.161895003862225
